TimePoint	Shoot_ID	PairID	SM2Treatment	SM1Treatment	TreatmentID	SM2_Bin	SM1_Bin	Shoot_Count	Growth1	Growth2	Growth3	Growth4	Total_Growth	GrowthPeriod	Growth_Day	Length_Begin	Width_Begin	Length_End	Width_End	Count_PreWarm	Dead_Recovery	CONTRA
During	2	1	C	C	CC	1	1	3	19.2	12	6.5	0	37.7	12	3.141666667							0
During	2	1	H	C	HC	2	1	4	22.5	11	0.2	0	33.7	12	2.808333333							0
During	3	2	C	C	CC	1	1	2	23	17	27.5	0	67.5	12	5.625							0
During	3	2	H	C	HC	2	1	3	32	28	1	0	61	12	5.083333333							0
During	4	3	C	C	CC	1	1	4	10	19.5	11	0	40.5	12	3.375							0
During	4	3	H	C	HC	2	1	3	7.5	43.5	28.5	0	79.5	12	6.625							0
During	5	4	C	C	CC	1	1	4	17	13	28	0	58	12	4.833333333							0
During	5	4	H	C	HC	2	1	1	20.5	22	0	0	42.5	12	3.541666667							0
During	1	5	C	H	CH	1	2	4	12.3	22.5	8	0	42.8	12	3.566666667							0
During	1	5	H	H	HH	2	2	4	27	34.5	0	0	61.5	12	5.125							0
During	2	6	C	H	CH	1	2	2	25.5	19.2	6	0	50.7	12	4.225							0
During	2	6	H	H	HH	2	2	2	12	36.5	2.5	0	51	12	4.25							0
During	3	7	C	H	CH	1	2	3	24.5	27.5	10	0	62	12	5.166666667							0
During	3	7	H	H	HH	2	2	4	10	0	0	0	10	12	0.833333333							0
During	4	8	C	H	CH	1	2	5	4	30	20	0	54	12	4.5							0
During	4	8	H	H	HH	2	2	5	37	36	0	0	73	12	6.083333333							0
During	5	9	C	H	CH	1	2	3	19.9	32.6	2.2	0	54.7	12	4.558333333							0
During	5	9	H	H	HH	2	2	2	17.5	35	2	0	54.5	12	4.541666667							0
During	2	10	C	C	CC	3	3	2	5.5	35.5	18.5	0	59.5	12	4.958333333							0
During	3	11	C	C	CC	3	3	2	22	24	2.5	0	48.5	12	4.041666667							0
During	3	11	H	C	HC	4	3	3	22	33	3	0	58	12	4.833333333							0
During	4	12	H	C	HC	4	3	3	40.75	40.5	4.5	0	85.75	12	7.145833333							0
During	5	13	C	C	CC	3	3	2	5	35.5	5	0.5	46	12	3.833333333							0
During	5	13	H	C	HC	4	3	3	27.5	21	0	0	48.5	12	4.041666667							0
During	NA	NA	NA	C	NA		3	1	10	30	0	0	40	12	3.333333333							1
During	1	14	C	H	CH	3	4	3	20.75	1	0	0	21.75	12	1.8125							0
During	1	14	H	H	HH	4	4	4	21	40	15.5	1	77.5	12	6.458333333							0
During	2	15	H	H	HH	4	4	4	15	26.5	3	0	44.5	12	3.708333333							0
During	3	16	C	H	CH	3	4	1	18	0	0	0	18	12	1.5							0
During	4	17	C	H	CH	3	4	1	22.5	28	0	0	50.5	12	4.208333333							0
During	4	17	H	H	HH	4	4	3	4	38	4	0	46	12	3.833333333							0
During	5	18	C	H	CH	3	4	2	29	18	0	0	47	12	3.916666667							0
During	5	18	H	H	HH	4	4	4	17	35	6.5	0	58.5	12	4.875							0
During	2	19	C	C	CC	5	5	3	15	22	3.5	0	40.5	12	3.375							0
During	2	19	H	C	HC	6	5	2	5.5	32	31	9	77.5	12	6.458333333							0
During	3	20	C	C	CC	5	5	2	8	12.5	21	0	41.5	12	3.458333333							0
During	3	20	H	C	HC	6	5	4	20	28.5	8.5	0.5	57.5	12	4.791666667							0
During	4	21	C	C	CC	5	5	4	19	14	0.5	0	33.5	12	2.791666667							0
During	4	21	H	C	HC	6	5	3	27	21	3	0.5	51.5	12	4.291666667							0
During	1	22	C	C	CC	7	7	4	23	3.5	12	1	39.5	12	3.291666667							0
During	1	22	H	C	HC	8	7	3	37	35.5	4.5	0.5	77.5	12	6.458333333							0
During	2	23	H	C	HC	8	7	3	11	42.5	10.5	0.5	64.5	12	5.375							0
During	3	24	H	C	HC	8	7	3	15.5	35.5	17.5	1	69.5	12	5.791666667							0
During	3	24	H	C	HC	8	7	5	18	24	5.5	0	47.5	12	3.958333333							0
During	4	25	C	C	CC	7	7	4	11	18	7.5	4.5	41	12	3.416666667							0
During	4	25	C	C	CC	7	7	3	17	14.5	2	0	33.5	12	2.791666667							0
During	5	26	C	C	CC	7	7	3	14.5	5.5	2.5	1	23.5	12	1.958333333							0
During	5	26	H	C	HC	8	7	5	37	9.5	30	0	76.5	12	6.375							0
During	2	27	C	H	CH	7	8	3	16	29	10	0	55	12	4.583333333							0
During	2	27	H	H	HH	8	8	2	6.5	40	0	0	46.5	12	3.875							0
During	3	28	H	H	HH	8	8	4	44	29	7	0	80	12	6.666666667							0
During	4	29	C	H	CH	7	8	2	19	28	12	0.5	59.5	12	4.958333333							0
During	5	30	C	H	CH	7	8	3	21	25.5	8	1	55.5	12	4.625							0
During	5	30	H	H	HH	8	8	3	18.5	36	10	0	64.5	12	5.375							0
During	1	31	C	C	CC	9	9	3	15	31	16.5	0	62.5	12	5.208333333							0
During	1	31	H	C	HC	10	9	1	15.5	9	0	0	24.5	12	2.041666667							0
During	3	32	C	C	CC	9	9	4	16.5	17.5	2.25	2.25	38.5	12	3.208333333							0
During	3	32	H	C	HC	10	9	2	9.75	1.5	0	0	11.25	12	0.9375							0
During	4	33	C	C	CC	9	9	1	12	7	32	20.5	71.5	12	5.958333333							0
