Shoot_ID	PairID	SM2Treatment	SM1Treatment	TreatmentID	SM2_Bin	SM1_Bin	TissueType	DryMass
2	1	C	C	CC	1	1	SIDE	0.6965
2	1	C	C	CC	1	1	SHOOT	0.4653
2	1	C	C	CC	1	1	ROOT	1.1636
2	1	C	C	CC	1	1	RHIZ	0.4228
2	1	H	C	HC	2	1	SHOOT	0.197
2	1	H	C	HC	2	1	SIDE	0.0229
2	1	H	C	HC	2	1	ROOT	0.2141
2	1	H	C	HC	2	1	RHIZ	0.1788
3	2	C	C	CC	1	1	RHIZ	0.3031
3	2	C	C	CC	1	1	SIDE	0.2258
3	2	C	C	CC	1	1	ROOT	0.4859
3	2	C	C	CC	1	1	SHOOT	0.8248
3	2	H	C	HC	2	1	ROOT	0.2137
3	2	H	C	HC	2	1	RHIZ	0.2885
3	2	H	C	HC	2	1	SHOOT	0.208
3	2	H	C	HC	2	1	SIDE	0.0699
4	3	C	C	CC	1	1	SHOOT	0.7376
4	3	C	C	CC	1	1	RHIZ	0.6786
4	3	C	C	CC	1	1	ROOT	0.5872
4	3	C	C	CC	1	1	SIDE	0.5626
4	3	H	C	HC	2	1	RHIZ	0.25
4	3	H	C	HC	2	1	ROOT	0.3083
4	3	H	C	HC	2	1	SIDE	0.1777
4	3	H	C	HC	2	1	SHOOT	0.5966
5	4	H	C	HC	2	1	RHIZ	0.0568
5	4	C	C	CC	1	1	ROOT	0.0529
5	4	H	C	HC	2	1	SHOOT	0.1005
5	4	C	C	CC	1	1	SIDE	0.3237
5	4	C	C	CC	1	1	SHOOT	0.2959
5	4	C	C	CC	1	1	ROOT	0.604
5	4	C	C	CC	1	1	RHIZ	0.4002
1	5	C	H	CH	1	2	SHOOT	0.4307
1	5	H	H	HH	2	2	ROOT	0.3859
1	5	C	H	CH	1	2	SIDE	0.9524
1	5	H	H	HH	2	2	RHIZ	0.3381
1	5	C	H	CH	1	2	RHIZ	0.3938
1	5	C	H	CH	1	2	ROOT	1.5051
1	5	H	H	HH	2	2	SHOOT	0.5249
1	5	H	H	HH	2	2	SIDE	0.4033
2	6	H	H	HH	2	2	ROOT	0.1592
2	6	H	H	HH	2	2	SIDE	0.0078
2	6	H	H	HH	2	2	SHOOT	0.2882
2	6	H	H	HH	2	2	RHIZ	0.1466
3	7	H	H	HH	2	2	ROOT	0.1537
3	7	H	H	HH	2	2	RHIZ	0.0499
3	7	H	H	HH	2	2	SHOOT	0.057
3	7	C	H	CH	1	2	SHOOT	0.7422
3	7	C	H	CH	1	2	ROOT	1.0073
3	7	C	H	CH	1	2	RHIZ	0.4174
3	7	C	H	CH	1	2	SIDE	0.5172
3	7	H	H	HH	2	2	SIDE	0.0091
4	8	C	H	CH	1	2	SIDE	1.1472
4	8	C	H	CH	1	2	ROOT	0.7234
4	8	C	H	CH	1	2	RHIZ	0.4007
4	8	C	H	CH	1	2	SHOOT	0.8428
4	8	H	H	HH	2	2	RHIZ	0.2492
4	8	C	H	CH	1	2	SHOOT	0.483
4	8	H	H	HH	2	2	ROOT	0.3672
4	8	H	H	HH	2	2	SIDE	0.4416
5	9	C	H	CH	1	2	RHIZ	0.3845
