ID	Bin 	Shoot	Treatment	Date	Count	Dead	GrowthWarm1	CountWarm1	DeadWarm1	Shoot	Side	Rhiz	Root	Above	Below	AB	Total	FixedGrowth	Starch_Per	Starch_mg_g
1	1	1	C	3/21/17	3	0	1.65	1	0	0.7009	0.3072	0.2316	0.3748	1.0081	0.6064	1.662434037	1.6145	1.65	5.074408733	50.74408733
2	1	2	C	3/21/17	7	0	3.90	2	0	0.6643	0.5782	0.7437	0.8603	1.2425	1.604	0.774625935	2.8465	3.90	5.898049189	58.98049189
3	1	3	C	3/21/17	7	0	2.25	2	0	0.9451	1.1907	0.7227	0.9234	2.1358	1.6461	1.297491039	3.7819	2.25	6.169897241	61.69897241
4	1	4	C	3/21/17	16	0	4.30	2	0	0.682	2.9907	1.4951	1.1124	3.6727	2.6075	1.408513902	6.2802	4.30	6.521637292	65.21637292
5	1	5	C	3/21/17	4	0	0.50	1	0	0.7051	0.4533	0.2047	0.3196	1.1584	0.5243	2.209422087	1.6827	0.50	4.794139023	47.94139023
7	2	2	H	3/21/17	4	0	4.25	1	0	0.5351	0.1508	0.2732	0.4168	0.6859	0.69	0.994057971	1.3759	4.25	4.629927114	46.29927114
9	2	4	H	3/21/17	6	0	3.50	2	0	NA	NA	NA	NA	NA	NA	NA	NA	3.50	5.533183499	55.33183499
10	2	5	H	3/21/17	10	0	6.30	1	0	1.0505	2.1709	0.4761	0.7585	3.2214	1.2346	2.609266159	4.456	6.30	NA	NA
11	3	1	C	3/21/17	3	0	1.43	1	0	0.8818	0.4418	0.3694	0.4714	1.3236	0.8408	1.574215033	2.1644	1.43	5.927694902	59.27694902
13	3	3	C	3/21/17	1	0	1.33	1	0	NA	NA	NA	NA	NA	NA	NA	NA	1.33	4.311240168	43.11240168
14	3	4	C	3/21/17	3	0	2.00	1	0	0.619	0.3514	0.2293	0.4182	0.9704	0.6475	1.498687259	1.6179	2.00	4.518415825	45.18415825
15	3	5	C	3/21/17	7	0	3.73	2	0	0.7524	0.4633	0.2699	0.4004	1.2157	0.6703	1.813665523	1.886	3.73	5.178346256	51.78346256
17	4	2	H	3/21/17	2	0	NA	2	0	0.4956	0.2006	0.184	0.2373	0.6962	0.4213	1.652504154	1.1175	NA	6.762079096	67.62079096
19	4	4	H	3/21/17	8	0	5.10	2	0	0.7047	0.5567	0.5243	0.6553	1.2614	1.1796	1.069345541	2.441	5.10	5.400494797	54.00494797
20	4	5	H	3/21/17	13	0	3.47	1	0	0.6942	1.5752	0.757	0.7572	2.2694	1.5142	1.498745212	3.7836	3.47	5.837169145	58.37169145
22	5	2	C	3/21/17	4	0	3.20	2	0	0.231	0.0919	0.2919	0.2211	0.3229	0.513	0.629434698	0.8359	3.20	5.046365071	50.46365071
24	5	4	C	3/21/17	5	0	2.13	2	0	0.4287	0.346	0.2092	0.4718	0.7747	0.681	1.137591777	1.4557	2.13	4.755992539	47.55992539
31	7	1	C	3/21/17	9	0	5.50	2	0	0.3575	1.0659	0.7446	0.6438	1.4234	1.3884	1.025208874	2.8118	5.50	5.434450832	54.34450832
32	7	2	C	3/21/17	8	0	NA	1	0	0.5222	0.8143	0.6787	0.8054	1.3365	1.4841	0.900545785	2.8206	NA	4.144064501	41.44064501
33	7	3	C	3/21/17	5	0	3.77	1	0	0.669	0.2671	0.3165	0.3662	0.9361	0.6827	1.371173283	1.6188	3.77	4.106081269	41.06081269
34	7	4	C	3/21/17	8	0	2.90	2	0	0.8088	1.2703	0.789	0.6078	2.0791	1.3968	1.488473654	3.4759	2.90	6.549273277	65.49273277
35	7	5	C	3/21/17	15	0	4.37	2	0	0.5164	1.4499	0.8927	1.1711	1.9663	2.0638	0.95275705	4.0301	4.37	4.749945087	47.49945087
36	8	1	H	3/21/17	7	0	6.27	2	0	0.7058	1.8104	1.0106	0.9273	2.5162	1.9379	1.298415811	4.4541	6.27	7.452587135	74.52587135
39	8	4	H	3/21/17	7	0	4.73	1	0	0.393	0.746	0.7121	0.6795	1.139	1.3916	0.818482323	2.5306	4.73	4.336771306	43.36771306
41	9	1	C	3/21/17	8	0	2.57	1	0	0.6888	0.9261	0.6135	0.6196	1.6149	1.2331	1.309626145	2.848	2.57	4.019438193	40.19438193
42	9	2	C	3/21/17	9	0	2.77	2	0	1.1131	1.164	0.5986	0.4706	2.2771	1.0692	2.129723158	3.3463	2.77	4.573993276	45.73993276
43	9	3	C	3/21/17	6	0	2.27	1	0	0.5988	0.4475	0.1895	0.3078	1.0463	0.4973	2.103961392	1.5436	2.27	4.97251107	49.7251107
44	9	4	C	3/21/17	7	0	1.87	1	0	0.5596	0.6667	0.425	0.5196	1.2263	0.9446	1.298221469	2.1709	1.87	5.278122931	52.78122931
46	10	1	H	4/7/17	3	0	10.67	1	0	0.1791	0.103	0.1466	0.2597	0.2821	0.4063	0.694314546	0.6884	5.333333333	4.097489414	40.97489414
47	10	2	H	4/7/17	5	0	6.53	3	0	0.4996	0.266	0.3135	0.5498	0.7656	0.8633	0.886829607	1.6289	3.266666667	3.951646652	39.51646652
48	10	3	H	4/7/17	8	0	11.17	3	0	0.4003	0.5286	0.2063	0.7118	0.9289	0.9181	1.011763424	1.847	5.583333333	5.893005127	58.93005127
49	10	4	H	4/7/17	5	0	7.33	1	0	0.4442	0.5567	0.5442	0.5865	1.0009	1.1307	0.885203856	2.1316	3.666666667	4.347066735	43.47066735
50	10	5	H	4/7/17	6	0	10.10	3	0	NA	0.4794	0.4417	0.4683	NA	0.91	NA	NA	5.05	5.428869683	54.28869683
