SAMPLEID	T1	T2	REP 	RUN_DATE	STARCH_mgg
1-2C	C	C	1	13AUG19_AB	49.84071876
1-2H	C	H	1	13AUG19_AB	28.33812104
1-3C	C	C	1	13AUG19_AB	37.79361441
1-3H	C	H	1	13AUG19_AB	37.21351105
1-5H	C	H	1	13AUG19_AB	33.89743023
11-1H	C	H	1	13AUG19_AB	54.21302768
11-3H	C	H	1	13AUG19_AB	51.39225307
11-4C	C	C	1	13AUG19_AB	61.22060647
11-5C	C	C	1	13AUG19_AB	48.95800729
12-1C	H	C	1	13AUG19_AB	37.8593778
12-1H	H	H	1	13AUG19_AB	48.88675727
12-3C	H	C	1	13AUG19_AB	36.98152933
12-4C	H	C	1	13AUG19_AB	41.49691
12-5C	H	C	1	13AUG19_AB	96.4311826
13-3C	C	C	1	13AUG19_AB	49.94441315
13-4H	C	H	1	13AUG19_AB	74.08615559
14-1C	H	C	1	13AUG19_AB	50.53659618
14-H	H	H	1	13AUG19_AB	47.22399619
15-1C	C	C	1	13AUG19_AB	47.64175615
15-1H	C	H	1	13AUG19_AB	44.14297683
15-3C	C	C	1	13AUG19_AB	48.65249262
15-3H	C	H	1	13AUG19_AB	48.47434819
15-5C	C	C	1	13AUG19_AB	42.96057467
15-5H	C	H	1	13AUG19_AB	49.87138061
16-1H	H	H	1	13AUG19_AB	46.71759541
16-5H	H	H	1	13AUG19_AB	77.83569831
18-2H	H	H	1	13AUG19_AB	65.78760715
19-1C	C	C	1	13AUG19_AB	68.09457656
19-2C	C	C	1	13AUG19_AB	78.22996244
19-4C	C	C	1	13AUG19_AB	46.97910178
19-5C	C	C	1	13AUG19_AB	45.76271014
2-1H	H	H	1	13AUG19_AB	38.01703564
2-3C	H	C	1	13AUG19_AB	57.44719693
2-3H	H	H	1	13AUG19_AB	29.79654031
2-4C	H	C	1	13AUG19_AB	65.85991119
2-4H	H	H	1	13AUG19_AB	32.95679352
20-3C	H	C	1	13AUG19_AB	56.98154773
20-3H	H	H	1	13AUG19_AB	39.34059932
20-5C	H	C	1	13AUG19_AB	54.97532068
3-2H	C	H	1	13AUG19_AB	28.38074878
3-3H	C	H	1	13AUG19_AB	44.316864
3-4H	C	H	1	13AUG19_AB	42.36329239
3-5C	C	C	1	13AUG19_AB	29.15742767
3-5H	C	H	1	13AUG19_AB	36.90782264
4-1H	H	H	1	13AUG19_AB	32.533952
4-3C	H	C	1	13AUG19_AB	34.4904504
4-5H	H	H	1	13AUG19_AB	37.20032684
5-2C	C	C	1	13AUG19_AB	41.6302183
5-3C	C	C	1	13AUG19_AB	28.8388643
5-4C	C	C	1	13AUG19_AB	40.54534513
5-4H	C	H	1	13AUG19_AB	41.2213795
7-2H	C	H	1	13AUG19_AB	71.11016471
7-3C	C	C	1	13AUG19_AB	42.69471706
7-4C	C	C	1	13AUG19_AB	60.90919719
7-5C	C	C	1	13AUG19_AB	66.49698879
7-5H	C	H	1	13AUG19_AB	53.08721772
8-2C	H	C	1	13AUG19_AB	54.19585192
8-3C	H	C	1	13AUG19_AB	41.29381462
9-1C	C	C	1	13AUG19_AB	69.52978814
9-3C	C	C	1	13AUG19_AB	35.72491109
9-4C	C	C	1	13AUG19_AB	42.70602305
9-4H	C	H	1	13AUG19_AB	44.56628654
1-4C	C	C	1	NOV19_ABC	20.72333946
1-4H	C	H	1	NOV19_ABC	22.78122995
1-5C	C	C	1	NOV19_ABC	23.84716238
