ID	Bin 	Shoot	Treatment	Date	Count	Dead
1	1	1	C	3/21/17	3	0
2	1	2	C	3/21/17	7	0
3	1	3	C	3/21/17	7	0
4	1	4	C	3/21/17	16	0
5	1	5	C	3/21/17	4	0
6	2	1	H	3/21/17	NA	1
7	2	2	H	3/21/17	4	0
8	2	3	H	3/21/17	NA	1
9	2	4	H	3/21/17	6	0
10	2	5	H	3/21/17	10	0
11	3	1	C	3/21/17	3	0
12	3	2	C	3/21/17	NA	1
13	3	3	C	3/21/17	1	0
14	3	4	C	3/21/17	3	0
15	3	5	C	3/21/17	7	0
16	4	1	H	3/21/17	NA	1
17	4	2	H	3/21/17	2	0
18	4	3	H	3/21/17	NA	1
19	4	4	H	3/21/17	8	0
20	4	5	H	3/21/17	13	0
21	5	1	C	3/21/17	NA	1
22	5	2	C	3/21/17	4	0
23	5	3	C	3/21/17	NA	1
24	5	4	C	3/21/17	5	0
25	5	5	C	3/21/17	NA	1
26	6	1	H	3/21/17	NA	1
27	6	2	H	3/21/17	NA	1
28	6	3	H	3/21/17	NA	1
29	6	4	H	3/21/17	NA	1
30	6	5	H	3/21/17	NA	1
31	7	1	C	3/21/17	9	0
32	7	2	C	3/21/17	8	0
33	7	3	C	3/21/17	5	0
34	7	4	C	3/21/17	8	0
35	7	5	C	3/21/17	15	0
36	8	1	H	3/21/17	7	0
37	8	2	H	3/21/17	NA	1
38	8	3	H	3/21/17	NA	1
39	8	4	H	3/21/17	7	0
40	8	5	H	3/21/17	NA	1
41	9	1	C	3/21/17	8	0
42	9	2	C	3/21/17	9	0
43	9	3	C	3/21/17	6	0
44	9	4	C	3/21/17	7	0
45	9	5	C	3/21/17	NA	1
46	10	1	H	4/7/17	3	0
47	10	2	H	4/7/17	5	0
48	10	3	H	4/7/17	8	0
49	10	4	H	4/7/17	5	0
50	10	5	H	4/7/17	6	0
51	11	1	C	4/7/17	3	0
52	11	2	C	4/7/17	0	0
53	11	3	C	4/7/17	2	0
54	11	4	C	4/7/17	2	0
55	11	5	C	4/7/17	5	0
56	12	1	H	4/10/17	4	0
57	12	2	H	4/10/17	5	0
58	12	3	H	4/10/17	5	0
59	12	4	H	4/10/17	3	0
60	12	5	H	4/10/17	NA	1
61	13	1	C	4/10/17	4	0
62	13	2	C	4/10/17	6	0
63	13	3	C	4/10/17	8	0
64	13	4	C	4/10/17	8	0
65	13	5	C	4/10/17	NA	1
66	14	1	C	4/10/17	10	0
67	14	2	C	4/10/17	7	0
68	14	3	C	4/10/17	NA	1
69	14	4	C	4/10/17	5	0
70	14	5	C	4/10/17	14	0
71	16	1	H	4/17/17	NA	1
72	16	2	H	4/17/17	17	0
73	16	3	H	4/17/17	3	0
74	16	4	H	4/17/17	5	0
75	16	5	H	4/17/17	8	0
76	17	1	C	4/17/17	10	0
77	17	2	C	4/17/17	NA	1
78	17	3	C	4/17/17	5	0
79	17	4	C	4/17/17	5	0
80	17	5	C	4/17/17	1	0
81	18	1	H	4/17/17	18	0
82	18	2	H	4/17/17	18	0
83	18	3	H	4/17/17	8	0
84	18	4	H	4/17/17	24	0
85	18	5	H	4/17/17	NA	1
86	19	1	C	4/17/17	4	0
87	19	2	C	4/17/17	NA	1
88	19	3	C	4/17/17	13	0
89	19	4	C	4/17/17	8	0
90	19	5	C	4/17/17	10	0
91	20	1	H	4/17/17	26	0
92	20	2	H	4/17/17	23	0
93	20	3	H	4/17/17	NA	1
94	20	4	H	4/17/17	NA	1
95	20	5	H	4/17/17	7	0
